Title,Author,Genre,Pages,Year,Downloads,Rating
All Things Are Lights,"
Robert J. Shea
",Espionage,617,1986,"17,515",4
The Riddle of the Sands,"
Erskine Childers
",Espionage,273,1903,"15,390",4
Inside the Lines,"
Robert Welles Ritchie
Earl Derr Biggers
",Espionage,179,1915,"11,356",4.25
The Elements of Drawing,"
John Ruskin
",Essays,0,1857,"12,790",0
Address to the First Graduating Class of Rutgers Female College,"
Henry M. Pierce
",Essays,22,1867,"1,531",0
The Art of Writing,"
Robert Louis Stevenson
",Essays,120,1905,"13,306",4
Clocks,"
Jerome K. Jerome
",Essays,17,,"1,599",0
Pageant of Summer,"
Richard Jefferies
",Essays,0,1914,"20,000",0
Self Help,"
Samuel Smiles
",Essays,321,1875,"31,866",4.25
The Drama of Three Hundred & Sixty-Five Days,"
Sir Hall Caine
",Essays,,1915,"1,530",0
The Art of Money Getting,"
P. T. Barnum
",Essays,87,,"29,659",4.5
Varied Types,"
G. K. Chesterton
",Essays,,1905,"1,575",0
The Positive School of Criminology,"
Enrico Ferri
",Essays,67,1901,"1,550",0
Ideas of Good and Evil,"
William Butler Yeats
",Essays,145,1907,"14,211",0
When a Man Comes to Himself,"
Woodrow Wilson
",Essays,,1901,"1,644",0
The Souls of Black Folk,"
W. E. B. Du Bois
",Essays,165,1903,"11,888",0
Ma Pettengill,"
Harry Leon Wilson
",Essays,,1919,"1,616",0
Business Hints for Men and Women,"
Alfred Rochefort Calhoun
",Essays,151,,"19,757",0
Il dolore nell'arte,"
Antonio Fogazzaro
",Essays,28,1901,"1,540",0
'The Bitter Chain of Slavery': Reflections on Slavery in Ancient Rome,"
Keith Bradley
",Essays,26,2005,"15,713",5
Daily Thoughts,"
Charles Kingsley
",Essays,163,1885,"1,608",0
Amusement: A Force in Christian Training,"
Marvin Richardson Vincent
",Essays,0,1867,"1,616",5
Acres of Diamonds,"
Russell H. Conwell
",Essays,105,1913,"61,408",3.7142857142857
Emerson's Essays,"
Ralph Waldo Emerson
",Essays,215,1907,"21,698",3
Historical Lectures and Essays,"
Charles Kingsley
",Essays,112,,"1,532",0
''Bethink Yourselves!'',"
graf Tolstoy Leo
",Essays,49,1904,"23,417",0
Notes on My Books,"
Joseph Conrad
",Essays,,1920,"1,583",0
"American Scenes, and Christian Slavery","
Ebenezer Davies
",Essays,,1849,"1,551",0
Pages ,"
Stephane Mallarmé
",Essays,68,,"1,634",0
"'Oh, Well, You Know How Women Are!' AND 'Isn't That Just Like a Man!'","
Irvin S. Cobb
Mary Roberts Rinehart
",Essays,39,1920,"50,688",4
Letters on England,"
Voltaire
",Essays,119,1731,"1,641",0
The Autocrat of the Breakfast Table,"
Oliver Wendell Holmes
",Essays,,1858,"1,536",0
Walden,"
Henry David Thoreau
",Essays,244,1854,"74,924",4
"Passages From the English Notebooks, vol 2","
Nathaniel Hawthorne
",Essays,,,"1,592",0
Hiero,"
Xenophon
",Essays,,,"1,582",0
Through the Magic Door,"
Arthur Conan Doyle
",Essays,109,1909,"20,754",4
Sowing and Reaping,"
Dwight L. Moody
",Essays,84,1896,"35,032",0
American Indian stories,"
Zitkala-Sa
",Essays,112,1921,"11,971",0
The Ethics of the Dust,"
John Ruskin
",Essays,318,1875,"1,624",0
Rambles of an Archaeologist Among Old Books and in Old Places,"
Frederick William Fairholt
",Essays,138,1871,"1,623",0
How to Use Your Mind,"
Harry Dexter Kitson
",Essays,123,1921,"66,091",4.25
The Complete Essays of Michel de Montaigne,"
Michel de Montaigne
",Essays,1115,1877,"14,610",3
The Theory of the Theatre,"
Clayton Meeker Hamilton
",Essays,177,1910,"1,534",0
Breadcrumbs: A Collection of Spiritual and Philosophical Essays,"
Francis J. Shaw
",Essays,75,2017,"1,973",2
The Age of Innocence,"
Edith Wharton
",Essays,282,1920,"54,836",4.25
From London to Land's End,"
Daniel Defoe
",Essays,89,,"1,627",0
All Complex Ecosystems Have Parasites,"
Cory Doctorow
",Essays,9,2005,"11,549",5
Abraham Lincoln,"
Thomas Mears Eddy
",Essays,29,1865,"23,217",5
Man and Superman,"
George Bernard Shaw
",Essays,176,1903,"14,298",0
"The Interest of America in Sea Power, Present and Future","
Alfred Thayer Mahan
",Essays,145,1897,"1,560",0
Confessions of an Inquiring Spirit,"
Samuel Taylor Coleridge
",Essays,,1840,"1,605",0
About the Holy Bible,"
Robert Green Ingersoll
",Essays,44,1894,"25,084",3.0769230769231
Early English Meals and Manners,,Etiquette,1044,1868,"4,620",0
Mostly Dark,"
Miranda Kate
",Etiquette,84,2018,"2,537",0
Manners and Rules of Good Society,"
Anonymous
",Etiquette,263,1916,"1,938",0
Book of Etiquette,"
Lillian Eichler Watson
",Etiquette,237,1921,"7,813",0
"The Ladies' Book of Etiquette, and Manual of Politeness ","
Florence Hartley
",Etiquette,235,1860,"5,690",0
The American Gentleman's Guide to Politeness and Fashion,"
Henry Lunettes
",Etiquette,322,1864,"5,545",0
The Book of Business Etiquette,"
Nella Braddy Henney
",Etiquette,164,1922,"34,825",4
Conversation,,Etiquette,103,1855,"4,542",0
The Etiquette of To-day,"
Edith B. Ordway
",Etiquette,172,1918,"4,995",0
Hurst,"
Robin Crumby
",Etiquette,396,2016,"3,085",0
Lessons on Manners,"
Edith E. Wiggin
",Etiquette,82,1884,"2,556",0
Ice Crown,"
Kay L. Moody
",Etiquette,142,2019,"3,001",0
The Colored Girl Beautiful,"
E. Azalia Hackley
",Etiquette,78,1916,"7,244",0
Table-Talk,"
William Hazlitt
",Etiquette,343,,"5,450",0
Routledge's Manual of Etiquette,"
George Routledge
",Etiquette,,,"3,109",0
Rev's Odyssey,"
R. R. Kaufman
",Etiquette,349,2021,859,0
Becoming Bader,"
T.K. Eldridge
",Etiquette,65,2022,"2,919",0
Conversation,"
Mary Greer Conklin
",Etiquette,75,1912,"19,363",0
Social Life,"
Maud C. Cooke
",Etiquette,439,1896,"3,018",0
Fireplay,"
Steve P. Vincent
",Etiquette,51,2017,"1,525",0
Book of Etiquette,"
Lillian Eichler
",Etiquette,118,1921,"19,535",3
The Etiquette of Engagement and Marriage,"
G. R. M. Devereux
",Etiquette,157,1903,"4,657",4
AL Clark,"
Jonathan G. Meyer
",Etiquette,284,2014,"4,007",4.5
"How to Behave: A Pocket Manual of Republican Etiquette, and Guide to Correct Personal Habits","
Samuel Roberts Wells
",Etiquette,215,1887,"9,241",0
Unforgettable,"
Linda Barrett
",Etiquette,204,2021,"2,169",0
The Reluctant Coroner,"
Paul Austin Ardoin
",Etiquette,346,2018,"3,712",0
The Book of Good Manners,"
W. C. Green
",Etiquette,203,,"20,935",4
Chicken Culprit,"
Vikki Walton
",Etiquette,434,2018,"1,838",0
How to Observe,"
Harriet Martineau
",Etiquette,173,1838,"7,578",0
When We Let Go,"
Delancey Stewart
",Etiquette,280,2018,"4,423",0
Chosen,"
Christine Pope
",Etiquette,382,2015,"2,492",0
Perfect Behavior,"
Donald Ogden Stewart
",Etiquette,102,,"4,501",5
Etiquette,"
Emily Post
",Etiquette,656,1922,"67,251",5
The Laws of Etiquette,,Etiquette,66,1836,"4,804",0
Manners and Social Usages ,"
Mrs John M. E. W. Sherwood
",Etiquette,640,1887,"3,269",0
Manners and Conduct in School and Out,"
Anonymous
",Etiquette,,1921,"2,474",0
"The Fortress Unvanquishable, Save For Sacnoth","
Lord Dunsany
",Fantasy,18,1908,"1,822",0
In the Sweet Dry and Dry,"
Christopher Morley
Bart Haley
",Fantasy,83,1919,"1,776",2.8
Grimms' Fairy Tales,"
Jacob Grimm
Wilhelm Grimm
",Fantasy,238,,"48,496",3
Dreamthief,"
Tamara Grantham
",Fantasy,318,2015,"10,716",3
The Lost World,"
Arthur Conan Doyle
",Fantasy,198,1912,"32,490",4.625
Beneath the Fallen City,"
Jamie A. Waters
",Fantasy,376,2018,"2,226",0
Adventures of Pinocchio,"
Carlo Collodi
",Fantasy,136,1883,"29,763",4.3333333333333
Beauty and the Beast,"
Anonymous
",Fantasy,40,,"30,745",4.5
Marked,"
Katrina Cope
",Fantasy,24,2019,"4,609",0
A House Divided,"
Nicole Ciacchella
",Fantasy,263,2015,"2,677",5
The Arabian Nights Entertainments,,Fantasy,1201,1890,"43,760",5
The Legend of the Bleeding-heart,"
Annie Fellows Johnston
",Fantasy,0,1900,"1,840",0
The Arabian Nights,"
Andrew Lang
",Fantasy,277,1898,"228,489",3.9
Nibelungendlied,,Fantasy,,,"1,771",0
A Double Story,"
George MacDonald
",Fantasy,94,1875,"1,760",3
Ayesha,"
H. Rider Haggard
",Fantasy,271,1905,"30,496",4.25
Aladdin and the Magic Lamp,"
Unknown
",Fantasy,18,,"56,050",3
Collected Works of Poe,"
Edgar Allan Poe
",Fantasy,224,,"30,699",0
Ice Crown,"
Kay L. Moody
",Fantasy,142,2019,"3,001",0
The Coming of the Fairies,"
Arthur Conan Doyle
",Fantasy,103,1921,"33,161",0
Collector's Item,"
Robert F. Young
",Fantasy,,1956,"1,851",4
The Witch's Tower,"
Tamara Grantham
",Fantasy,272,2019,"8,281",4
The Adventures of A Brownie,"
Miss Mulock
",Fantasy,,1908,"1,750",0
Tales of the Enchanted Islands of the Atlantic ,"
Thomas Wentworth Higginson
",Fantasy,,1899,"1,843",0
MJALLHVÍT,"
Jacob Grimm
Wilhelm Grimm
",Fantasy,0,1852,"1,836",0
Collected Works of Poe,"
Edgar Allan Poe
",Fantasy,207,,"93,692",5
Hellenica,"
Xenophon
",Fantasy,276,,"1,798",5
Becoming Bader,"
T.K. Eldridge
",Fantasy,65,2022,"2,919",0
Ascension,"
Laura Hall
",Fantasy,190,2021,"2,979",0
The Phantom of the Opera,"
Gaston Leroux
",Fantasy,254,1911,"60,781",4.5833333333333
Alice in Wonderland,"
Lewis Carroll
",Fantasy,78,1865,"249,281",3.6111111111111
The Dunwich Horror,"
H. P. Lovecraft
",Fantasy,47,1929,"37,996",4
The Magic Skin,"
Honoré de Balzac
",Fantasy,224,,"1,832",0
Angel Fire,"
Valmore Daniels
",Fantasy,280,2011,"1,389",0
The Demon Girl,"
Penelope Fletcher
",Fantasy,208,2010,"66,422",4.0277777777778
A Dish of Orts,"
George MacDonald
",Fantasy,0,1893,"1,769",0
The Time Machine,"
H. G. Wells
",Fantasy,78,1895,"107,148",4.2307692307692
The Wonderful Wizard of Oz,"
Lyman Frank Baum
",Fantasy,122,1901,"65,652",4.8
The Magical Mimics in Oz,"
Jack Snow
",Fantasy,,1946,"1,805",0
Niels Holgersson's Wonderbare Reis,"
Margaretha Meijboom
Selma Lagerlöf
",Fantasy,555,,"1,778",0
Clarimonde,"
Théophile Gautier
",Fantasy,35,1908,"52,233",4
Child-Life in Japan and Japanese Child Stories,"
Matilda Chaplin Ayrton
",Fantasy,76,1901,"1,727",2
The Frights of Fiji,"
Sunayna Prasad
",Fantasy,136,2018,"6,729",4.6666666666667
The Land Of Heart's Desire,"
William Butler Yeats
",Fantasy,,1912,"1,703",0
Tales of the Wonder Club,"
Alexander Huth
",Fantasy,268,1899,"1,854",4
Almuric,"
Robert E. Howard
",Fantasy,236,1939,"28,487",3.8571428571429
The Doorway,"
Evelyn E. Smith
",Fantasy,,1955,"1,800",3
The Woggle-Bug Book,"
Lyman Frank Baum
",Fantasy,,1905,"1,755",0
Light & Dark,"
Daniel Fife
",Fantasy,,2012,"1,850",0
The Crock of Gold,"
James Stephens
",Fantasy,,1912,"1,832",0
Gulliver's Travels,"
Jonathan Swift
",Fantasy,,1726,"49,199",4.5
Tribe: The Red Hand,"
Kaelyn Ross
",Fantasy,96,2015,"1,763",0
Helga: Out of Hedgelands,"
Rick Johnson
",Fantasy,414,2013,"46,712",0
Disciple of Vengeance,"
CC Rasmussen
",Fantasy,128,2021,"1,270",0
Rogue Legacy,"
Jeffrey L. Kohanek
",Fantasy,322,2018,"1,613",5
Tarzan of the Apes,"
Edgar Rice Burroughs
",Fantasy,270,1912,"28,336",4.5882352941176
Household Stories by the Brothers Grimm,"
Jacob Grimm
Wilhelm Grimm
",Fantasy,261,1886,"32,894",5
Peter Pan,"
J. M. Barrie
",Fantasy,137,1904,"40,361",4.6
The Master-Christian,"
Marie Corelli
",Fantasy,578,1900,"1,729",5
Vrenna and the Little King,"
Michael E. Shea
",Fantasy,20,,"1,770",5
At the Mountains of Madness,"
H. P. Lovecraft
",Fiction and Literature,100,1936,"203,601",4.8333333333333
Greenmantle,"
John Buchan
",Fiction and Literature,247,1916,"12,153",4
Der Tod in Venedig,"
Thomas Mann
",Fiction and Literature,0,1912,"12,113",5
Candide,"
Voltaire
",Fiction and Literature,93,1759,"11,706",4
The Grammar of English Grammars,"
Goold Brown
",Fiction and Literature,9,1851,"250,236",4.0952380952381
The Adventures of Sherlock Holmes,"
Arthur Conan Doyle
",Fiction and Literature,236,1892,"558,521",4.4
Actions and Reactions,"
Rudyard Kipling
",Fiction and Literature,174,1909,"11,830",5
A Little Princess,"
Frances Hodgson Burnett
",Fiction and Literature,194,1903,"280,126",4.1428571428571
The Abysmal Brute,"
Jack London
",Fiction and Literature,87,1911,"11,776",5
A Queen's Spy,"
Sam Burnell
",Fiction and Literature,778,2017,"1,834",0
The Complete Works of William Shakespeare,"
William Shakespeare
",Fiction and Literature,9,,"209,976",4
Death Magic,"
CS Quinn
",Fiction and Literature,139,2018,"3,148",0
Makers,"
Cory Doctorow
",Fiction and Literature,,2010,"11,859",0
The Arabian Nights,"
Andrew Lang
",Fiction and Literature,277,1898,"228,489",3.9
"Le Morte D'Arthur, vol 1","
Sir Malory Thomas
",Fiction and Literature,495,1470,"177,997",1
Emma,"
Jane Austen
",Fiction and Literature,380,1815,"264,688",3.7
Makers,"
Cory Doctorow
",Fiction and Literature,518,2009,"11,895",4
"The $30,000 Bequest","
Mark Twain
",Fiction and Literature,510,1906,"192,261",3.5
Across India,"
Oliver Optic
",Fiction and Literature,0,1895,"11,761",5
"20,000 Leagues Under the Sea","
Jules Verne
",Fiction and Literature,296,1870,"231,052",3.8936170212766
Shimmer,"
Claudette Melanson
",Fiction and Literature,10,2014,"1,691",5
Persuasion,"
Jane Austen
",Fiction and Literature,150,1818,"130,903",4.8333333333333
Fly Away Home,"
Dave Cenker
",Fiction and Literature,114,2019,"7,589",4
"The Kreutzer Sonata, and Other Stories","
Leo Nikoleyevich Tolstoy
",Fiction and Literature,160,1889,"12,048",0
Our Mutual Friend,"
Charles Dickens
",Fiction and Literature,818,1865,"11,679",0
Pride and Prejudice,"
Jane Austen
",Fiction and Literature,311,1813,"351,158",4.5681818181818
The Curse of Capistrano,"
Harrington Strong
",Fiction and Literature,226,1919,"11,149",4.4285714285714
From Across the Room,"
Gina L. Mulligan
",Fiction and Literature,164,2020,"2,706",3
The Arabian Nights,,Fiction and Literature,254,1909,"12,081",5
The Wreck of the Titan,"
Morgan Robertson
",Fiction and Literature,202,1893,"11,782",4
The Count of Monte Cristo,"
Alexandre Dumas
",Fiction and Literature,1424,1845,"190,916",4.6976744186047
Rainbow Valley,"
Lucy Maud Montgomery
",Fiction and Literature,208,1919,"12,025",5
Wuthering Heights,"
Emily Brontë
",Fiction and Literature,300,1847,"132,044",4.0909090909091
The Great God Pan,"
Arthur Machen
",Fiction and Literature,62,1894,"12,139",4.1428571428571
Les Misérables,"
Victor Hugo
",Fiction and Literature,1609,1862,"182,181",4.6153846153846
American Indian stories,"
Zitkala-Sa
",Fiction and Literature,112,1921,"11,971",0
Alleen op de Wereld,"
Hector Malot
",Fiction and Literature,604,,"11,820",5
Macbeth,"
William Shakespeare
",Fiction and Literature,97,1606,"139,325",3.75
Key Out of Time,"
Andre Norton
",Fiction and Literature,167,1963,"11,791",4.5
Searching For Paradise,"
T.L. Hughes
",Fiction and Literature,224,2015,916,0
Loss Of Reason,"
Miles A. Maxwell
",Fiction and Literature,242,2015,"12,087",4
Siddhartha,"
Herman Hesse
",Fiction and Literature,108,1922,"111,570",4.2857142857143
Amar es vencer,"
Madame P. Caro
",Fiction and Literature,181,1909,"11,769",3.6666666666667
The Cosmic Computer,"
H. Beam Piper
",Fiction and Literature,195,1963,"12,199",4.1666666666667
He Fell In Love With His Wife,"
Edward Payson Roe
",Fiction and Literature,273,1886,"12,018",4.6666666666667
Adventures of Huckleberry Finn,"
Mark Twain
",Fiction and Literature,305,1884,"179,629",4.9090909090909
Alice's Adventures in Wonderland,"
Lewis Carroll
",Fiction and Literature,95,1865,"13,639",5
The Black Star Passes,"
John Wood Campbell
",Fiction and Literature,198,1953,"11,798",3.6
The Secret Adversary,"
Agatha Christie
",Fiction and Literature,228,1922,"121,514",4.8
"Le Morte D'Arthur, vol 2","
Thomas Malory
",Fiction and Literature,637,1470,"188,356",0
"Samlede Værker, Tredie Bind","
Jeppe Aakjær
",Fiction and Literature,356,1918,"184,860",0
The Best Ghost Stories,,Fiction and Literature,212,1919,"153,683",3.625
Dracula,"
Bram Stoker
",Fiction and Literature,347,1897,"140,800",4.4333333333333
Rilla of Ingleside,"
Lucy Maud Montgomery
",Fiction and Literature,266,1920,"11,777",5
The Size of Your Dreams,"
Dave Mason
",Fiction and Literature,187,2018,"6,066",5
Dream Student,"
J. J. DiBenedetto
",Fiction and Literature,,2013,"5,012",0
Look at that,"
Simos Panopoulos
",Fiction and Literature,217,2019,"1,087",0
The Duchess of Malfi,"
John Webster
",Fiction and Literature,133,1623,"11,911",0
Crime and Punishment ,"
Fyodor Dostoyevsky
",Fiction and Literature,491,1866,"127,536",4
Mostly Dark,"
Miranda Kate
",Games,84,2018,"2,537",0
My Book of Indoor Games,"
Clarence Squareman
",Games,124,1916,"3,907",0
The Abysmal Brute,"
Jack London
",Games,87,1911,"11,776",5
Floor Games,"
H. G. Wells
",Games,25,1911,"3,759",3
The Complete Golfer,"
Harry Vardon
",Games,0,1905,"4,559",0
"Games for the Playground, Home, School and Gymnasium","
Jessie Hubbell Bancroft
",Games,620,1909,"10,889",5
What Shall We Do Now?,"
Dorothy Canfield Fisher
",Games,354,1907,"9,578",5
Hurst,"
Robin Crumby
",Games,396,2016,"3,085",0
Jack Winters' Campmates,"
Mark Overton
",Games,117,1919,"8,842",0
"School, Church, and Home Games","
George Orrin Draper
",Games,146,1923,"8,343",0
Ice Crown,"
Kay L. Moody
",Games,142,2019,"3,001",0
Rev's Odyssey,"
R. R. Kaufman
",Games,349,2021,859,0
Becoming Bader,"
T.K. Eldridge
",Games,65,2022,"2,919",0
Things To Make,"
Archibald Williams
",Games,188,1900,"4,901",5
The Book of Sports,"
William Martin
",Games,113,1852,"4,627",0
Chess and Checkers: The Way to Mastership,"
Edward Lasker
",Games,323,1922,"15,256",3.3333333333333
Fireplay,"
Steve P. Vincent
",Games,51,2017,"1,525",0
AL Clark,"
Jonathan G. Meyer
",Games,284,2014,"4,007",4.5
Chess Strategy,"
Edward Lasker
",Games,308,1915,"22,641",3
Unforgettable,"
Linda Barrett
",Games,204,2021,"2,169",0
The Art of Lawn Tennis,"
William T. Tilden
",Games,0,1920,"4,726",0
The Canterbury Puzzles,"
Henry Ernest Dudeney
",Games,314,1907,"5,823",2.5
The Reluctant Coroner,"
Paul Austin Ardoin
",Games,346,2018,"3,712",0
Chicken Culprit,"
Vikki Walton
",Games,434,2018,"1,838",0
When We Let Go,"
Delancey Stewart
",Games,280,2018,"4,423",0
Jack Winters' Gridiron Chums,"
Mark Overton
",Games,114,1919,"8,742",0
Chosen,"
Christine Pope
",Games,382,2015,"2,492",0
Alibi Ike,"
Ring Lardner
",Games,28,1915,"3,886",4
Base-Ball: How to Become a Player,"
John Montgomery Ward
",Games,93,1888,"3,498",0
2012,"
Mike Cooper
",Games,492,2007,"26,540",3
A Ball Player's Career,"
Adrian Constantine Anson
",Games,249,1900,"3,307",0
The Blood of the Arena,"
Vicente Blasco Ibáñez
",Games,266,1911,"3,186",0
Chess History and Reminiscences,"
Henry Edward Bird
",Games,173,1893,"5,565",5
Jack Winters' Baseball Team,"
Mark Overton
",Games,114,1919,"9,045",0
Little Wars,"
H. G. Wells
",Games,45,1913,"8,433",5
Szachy i Warcaby: Droga do mistrzostwa,"
Edward Lasker
",Games,208,,"5,684",0
The Getting of Wisdom,"
Henry Handel Richardson
",Gay/Lesbian,198,1910,"6,026",0
The Country of the Pointed Firs,"
Sarah Orne Jewett
",Gay/Lesbian,106,1896,"4,835",4.5
"The Bostonians, Vol. I","
Henry James
",Gay/Lesbian,189,1886,"8,183",0
Father Goriot,"
Honoré de Balzac
",Gay/Lesbian,236,1834,"13,310",5
Lost Illusions,"
Honoré de Balzac
",Gay/Lesbian,647,,"6,415",3.6666666666667
Three Lives,"
Gertrude Stein
",Gay/Lesbian,201,1909,"9,991",0
Oroonoko,"
Aphra Behn
",Gay/Lesbian,59,1688,"17,190",3.4
Bliss,"
Katherine Mansfield
",Gay/Lesbian,180,1920,"24,007",5
Swann's Way,"
Marcel Proust
",Gay/Lesbian,395,1922,"15,026",5
My Ántonia,"
Willa Cather
",Gay/Lesbian,207,1918,"9,006",4.5
The History of Caliph Vathek,"
William Beckford
",Gay/Lesbian,94,1787,"5,928",3.3333333333333
Eve and David,"
Honoré de Balzac
",Gay/Lesbian,169,1893,"9,984",0
Bertram Cope's Year,"
Henry Blake Fuller
",Gay/Lesbian,218,1919,"7,673",5
The Garden Party,"
Katherine Mansfield
",Gay/Lesbian,166,1922,"13,372",4.3333333333333
Without Hesitation ,"
Talia Jager
",Gay/Lesbian,257,2017,"1,920",4.6666666666667
Kim,"
Rudyard Kipling
",Gay/Lesbian,296,1901,"26,716",4.6666666666667
David Blaize,"
E. F. Benson
",Gay/Lesbian,224,1916,"8,624",5
Concerning the Eccentricities of Cardinal Pirelli,"
Ronald Firbank
",Gay/Lesbian,148,1926,"3,871",0
Billy Budd,"
Herman Melville
",Gay/Lesbian,92,1886,"20,863",5
The Girl with the Golden Eyes,"
Honoré de Balzac
",Gay/Lesbian,71,,"15,148",2
The Moon and Sixpence,"
W. Somerset Maugham
",Gay/Lesbian,232,1919,"14,842",4.3333333333333
Winter Trials (Northern Witch #1),"
K.S. Marsden
",Gay/Lesbian,89,2016,"6,868",5
The Importance of Being Earnest,"
Oscar Wilde
",Gay/Lesbian,79,1895,"50,289",4.75
Scenes from a Courtesan's Life,"
Honoré de Balzac
",Gay/Lesbian,465,1847,"4,684",0
Checklist,,Gay/Lesbian,98,1960,"9,016",3
The Body-Snatcher,"
Robert Louis Stevenson
",Ghost Stories,20,1884,"12,570",3
A Woman Named Smith,"
Marie Conway Oemler
",Ghost Stories,223,1919,"16,162",4.75
"Carnacki, The Ghost Finder","
William Hope Hodgson
",Ghost Stories,129,1912,"13,085",4.6666666666667
The Alleged Haunting of B---- House,,Ghost Stories,127,1899,"13,976",2.5
Across the Stream,"
E. F. Benson
",Ghost Stories,258,1917,"22,968",3
The Canterville Ghost,"
Oscar Wilde
",Ghost Stories,39,1906,"49,766",4.5714285714286
At the Ghost Hour,"
Paul Heyse
",Ghost Stories,42,1894,"16,819",0
Byways of Ghost-Land,"
Elliott O'Donnell
",Ghost Stories,167,1911,"13,973",0
Apparitions,"
Joseph Taylor
",Ghost Stories,167,1815,"9,957",0
The Empty House and Other Ghost Stories,"
Algernon Blackwood
",Ghost Stories,174,1916,"13,347",4.5
A Christmas Carol,"
Charles Dickens
",Ghost Stories,93,1905,"17,066",5
Famous Modern Ghost Stories,,Ghost Stories,264,1921,"15,094",3
Ghosts and Family Legends,"
Catherine Crowe
",Ghost Stories,183,1859,"11,175",0
A Christmas Carol,"
Charles Dickens
",Ghost Stories,97,1843,"44,956",4.25
Clarimonde,"
Théophile Gautier
",Ghost Stories,35,1908,"52,233",4
Masterpieces of Mystery In Four Volumes,,Ghost Stories,185,1920,"19,315",3
Remembrance,"
T.K. Eldridge
",Ghost Stories,176,2019,"2,507",0
Black Spirits and White,"
Ralph Adams Cram
",Ghost Stories,97,1895,"13,714",3
Masterpieces of Mystery In Four Volumes,,Ghost Stories,199,1920,"10,981",3
The Legend of Sleepy Hollow,"
Washington Irving
",Ghost Stories,34,1820,"21,856",4
"The Abbot's Ghost, (A Christmas Story)","
Louisa May Alcott
",Ghost Stories,69,1867,"26,225",5
The Ebony Frame,"
E. Nesbit
",Ghost Stories,13,1893,"9,923",2
The Book of Dreams and Ghosts,"
Andrew Lang
",Ghost Stories,205,1897,"19,517",5
The Best Ghost Stories,,Ghost Stories,212,1919,"153,683",3.625
The Damned,"
Algernon Blackwood
",Ghost Stories,92,1914,"15,069",4
A Woman Named Smith,"
Marie Conway Oemler
",Gothic,223,1919,"16,162",4.75
The Evil Guest,"
Joseph Sheridan Le Fanu
",Gothic,130,1895,"8,131",2
Dracula's Guest,"
Bram Stoker
",Gothic,142,1914,"13,508",3.8
The Lair of the White Worm,"
Bram Stoker
",Gothic,153,1911,"9,326",3.75
The Last Man,"
Mary Wollstonecraft Shelley
",Gothic,408,1826,"6,743",3
The Woman in White,"
Wilkie Collins
",Gothic,615,1860,"67,266",4.1739130434783
The Mysteries of Udolpho,"
Ann Ward Radcliffe
",Gothic,669,1794,"11,556",3.4
The Dead Alive,"
Wilkie Collins
",Gothic,67,1873,"8,638",0
The Raven / The Masque of the Red Death / The Cask of Amontillado,"
Edgar Allan Poe
",Gothic,25,,"25,364",5
Collected Works of Poe,"
Edgar Allan Poe
",Gothic,207,,"93,692",5
"The Vampyre, a Tale","
John William Polidori
",Gothic,37,1819,"10,140",4
Famous Modern Ghost Stories,,Gothic,264,1921,"15,094",3
Wuthering Heights,"
Emily Brontë
",Gothic,300,1847,"132,044",4.0909090909091
A Christmas Carol,"
Charles Dickens
",Gothic,97,1843,"44,956",4.25
The Great God Pan,"
Arthur Machen
",Gothic,62,1894,"12,139",4.1428571428571
A Sicilian Romance,"
Ann Ward Radcliffe
",Gothic,164,1790,"6,684",3.5
The Castle of Otranto,"
Horace Walpole
",Gothic,103,1764,"14,763",3.6
The Mystery of Cloomber,"
Arthur Conan Doyle
",Gothic,124,1889,"8,540",4.1666666666667
The Castle of Wolfenbach,"
Eliza Parsons
",Gothic,190,1793,"6,895",0
Jane Eyre,"
Charlotte Brontë
",Gothic,497,1847,"88,468",4.5294117647059
The Fall of the House of Usher,"
Edgar Allan Poe
",Gothic,24,1839,"21,322",4
Dracula,"
Bram Stoker
",Gothic,347,1897,"140,800",4.4333333333333
Varney the Vampire,"
Thomas Preskett Prest
",Gothic,1026,1847,"9,166",4
The Romance of the Forest,"
Ann Radcliffe
",Gothic,336,1791,"8,669",4.5
The Prince,"
Niccolò Machiavelli
",Harvard Classics,135,1513,"72,774",5
Father Goriot,"
Honoré de Balzac
",Harvard Classics,236,1834,"13,310",5
The Idiot,"
Fyodor Dostoyevsky
",Harvard Classics,563,1868,"30,688",4
The Mill on the Floss,"
George Eliot
",Harvard Classics,499,1860,"13,783",4.1666666666667
All For Love,"
John Dryden
",Harvard Classics,95,1677,"47,835",4.5
Pride and Prejudice,"
Jane Austen
",Harvard Classics,311,1813,"351,158",4.5681818181818
Emerson's Essays,"
Ralph Waldo Emerson
",Harvard Classics,215,1907,"21,698",3
Don Quixote,"
Miguel de Cervantes Saavedra
",Harvard Classics,1026,1615,"100,886",3.9375
The Bhagavad-Gita,,Harvard Classics,92,,"74,863",5
An Inquiry into the Nature and Causes of the Wealth of Nations,"
Adam Smith
Germain Garnier
",Harvard Classics,955,1776,"57,408",5
The Raven / The Masque of the Red Death / The Cask of Amontillado,"
Edgar Allan Poe
",Harvard Classics,25,,"25,364",5
The Pilgrim's Progress,"
John Bunyan
",Harvard Classics,149,1678,"72,181",4.125
Vanity Fair,"
William Makepeace Thackeray
",Harvard Classics,711,1848,"28,810",4.3333333333333
The Scarlet Letter,"
Nathaniel Hawthorne
",Harvard Classics,205,1850,"55,126",4
Complete Maupassant Original Short Stories,"
Guy de Maupassant
",Harvard Classics,9,,"16,458",4
